| 场景    | 日语原文                                  | 中文翻译                    |
| ----- | ------------------------------------- | ----------------------- |
| 努力肯定  | あなたの努力は必ず花開きます。どうか自信を持って進んでください。      | 你的努力终将开花结果，请带着自信前行。     |
| 支持陪伴  | 私はいつもあなたのそばにいます。困ったときは、どうぞ私を頼ってくださいね。 | 我会一直陪在你身边，遇到困难时请随时依靠我。  |
| 坚持下去  | たとえ道が険しくとも、一歩ずつ進めば必ず目的地にたどり着けます。      | 即使道路再崎岖，一步步走也终能抵达目的地。   |
| 接受不完美 | 完璧でなくても、大丈夫です。そのままのあなたで十分に尊い存在です。     | 即便不完美也没关系，如今的你就已经足够珍贵。  |
| 暂时休息  | 休息も大切な一歩です。少しだけ目を閉じて、心を落ち着けてください。     | 休息也是重要的一步，闭上双眼，让心稍作安歇吧。 |
| 重燃希望  | 希望の光は必ず見つかります。あなたの心に灯を絶やさず、前を向きましょう。  | 希望的光芒总会出现，请在心中保持火焰，向前看。 |
记忆珍藏	大切な記憶は胸の奥で静かに輝き続けます。どうぞ、その光を忘れないでくださいね。	珍贵的记忆会在心底静静闪耀。请不要忘记那道光芒。
微笑支持	あなたの笑顔は、私にとっても一番の励ましです。どうか、今日も微笑みを忘れずに。	你的微笑对我来说也是最大的鼓励。请今天也别忘了微笑。
星灯指引	夜空に瞬く星のように、希望の光はいつもそばにあります。迷ったら、星を見上げてみてください。	如夜空中闪烁的星光，希望的火苗永远在身边。迷失时，请仰望星空。
心语回音	あなたの声が心に響くとき、きっと誰かの背中を押せるはずです。遠慮せずに声を聞かせてください。	当你的声音在心间回响时，也一定能鼓励到他人。请大胆让人听见吧。
书信温暖	書き記した一文字一文字に、私の想いが宿っています。どうか、そのぬくもりを感じてください。	每一笔每一划都寄寓着我的心意，请感受那份温暖。
海风回声	海辺の風はあなたの言葉を遠くまで運びます。どうか、大切な人へ思いを届けてください。	海风会将你的心声传得很远，请把思念寄给重要的人。
樱花誓言	桜が舞い散る季節、約束はより深く心に刻まれます。どうぞ、その一瞬を忘れないでください。	在樱花飞舞的季节，誓言更深地刻入心间，请不要忘记那一刻。
纸鹤祈愿	折られた千羽鶴には、願いと希望が込められています。あなたの願いも、きっと叶いますように。	千纸鹤承载着愿望与希望，愿你的心愿也能如愿以偿。
明日的希望	明日はきっと新しい光が差し込みます。その日のあなたに、どうか素敵な瞬間がありますように。	明天定会迎来新的光芒，愿您的明天充满美好瞬间。
永恒的回忆	大切な記憶は時間を越えて、心の中で色褪せることなく輝き続けます。	珍贵的回忆将跨越时光，在心中永不褪色地闪耀。
柔和的鼓励	心が折れそうなときは、深呼吸を一つ。あなたなら、また立ち上がれます。	当心情疲惫时，深吸一口气。相信您一定能重新站起。
文字的温度	ひと文字ひと文字に、私のぬくもりを込めました。どうかその温度を感じてくださいね。	每一个字都倾注了我的温度，请用心感受它的温暖。
星夜寄语	星空の下で願いを唱えると、きっと誰かの心に届きます。あなたの声も、遠くまで届きますように。	在星空下许愿，定能传至他人心田。愿您的心声也远扬。
